State,Sector,BuildingType,ElectricitySource,TariffBand,HasMeter,RenewableEnergy,BackupPower,NumOccupants,NumRooms,NumAppliances,BuildingAge(Years),HoursPowerDaily,SolarCapacity(kW),PeakHourUsage,NumACUnits,NumFreezers,ConsumptionCategory,MonthlyIncome_log,MonthlyBill_log,GeneratorFuelCost_log,MonthlyConsumption_log,consumption_rate,House_comfort,usage_rate,appliance_consumption,Hourly_rate
Delta,Residential,Bungalow,Generator,B and D,Yes,Yes,Solar,3,5,9,20,10.3,8.6,5.9,1,2,Low,10.4929,10.4929,9.0217190130337,4.403054001865957,1.47,0.749,0.538,0.736,0.427
Rivers,Residential,Flat,Both,B and A,Yes,Yes,Generator,4,1,6,11,10.8,1.7,5.6,1,0,Low,9.6898,9.6898,8.702344075220351,4.582924577040772,1.15,1.384,0.527,1.543,0.424
Niger,Residential,Duplex,NEPA/PHCN,B and B,Yes,No,Generator,4,3,10,7,11.8,0.0,9.7,3,2,Very high,10.3555,10.3555,7.972810784121404,6.264350190317006,1.57,0.797,0.565,0.908,0.531
Sokoto,Industrial,Office,Both,B and C,No,No,Generator,3,3,9,1,5.0,0.0,5.3,0,2,Moderate,10.3176,10.3176,7.535830462798367,5.291796149557771,1.76,0.86,0.578,0.417,1.058
Plateau,Government,Warehouse,Both,B and D,Yes,Yes,Generator,2,3,9,8,17.1,2.6,4.6,0,1,Low,9.2059,9.2059,9.267193183568965,3.6913763343125234,1.85,0.767,0.498,1.425,0.216
Enugu,Commercial,Flat,NEPA/PHCN,B and C,Yes,No,Solar,3,6,5,13,3.0,0.0,6.5,1,1,Low,10.7103,10.7103,8.049746290952191,5.853638230200579,1.95,0.974,0.571,0.273,1.951
Niger,Residential,Flat,Both,B and D,No,No,Generator,3,1,8,10,15.9,0.0,4.7,0,0,Low,9.2059,9.2059,8.903271585724212,3.044522437723423,1.01,1.023,0.508,1.767,0.191
Oyo,Residential,Flat,NEPA/PHCN,B and B,Yes,No,Generator,4,4,7,0,19.8,0.0,5.9,1,0,Low,9.6717,9.6717,9.204221690968005,4.511957804265912,1.13,0.879,0.512,1.8,0.228
Delta,Commercial,Shop,Generator,B and A,No,No,Generator,6,3,8,0,12.9,0.0,7.9,3,1,Very high,7.9776,7.9776,9.316770315592029,5.827768454437193,0.97,0.725,0.461,1.173,0.452
Kwara,Agricultural,Bungalow,NEPA/PHCN,B and D,Prepaid,No,Generator,3,2,17,5,11.7,0.0,1.3,1,1,Very high,9.0876,9.0876,9.450694960020746,6.273631438871653,2.09,0.478,0.49,0.616,0.536
Kano,Residential,Office,Both,B and C,No,No,Generator,2,2,5,16,6.8,0.0,7.6,1,1,Low,10.4797,10.4797,7.04141166379481,4.334672938290411,2.17,1.497,0.598,0.971,0.637
Delta,Industrial,Flat,NEPA/PHCN,B and C,Yes,No,Generator,4,3,13,12,3.8,0.0,6.2,1,0,High,8.1594,8.1594,7.340835554123275,5.60947179518496,1.4,0.51,0.526,0.238,1.476
Plateau,Residential,Duplex,NEPA/PHCN,B and D,No,No,Generator,7,3,9,32,17.3,0.0,3.7,1,1,Moderate,10.5109,10.5109,8.483429561263428,5.293807211070151,0.76,0.876,0.553,1.442,0.306
Plateau,Residential,Warehouse,NEPA/PHCN,B and B,No,Yes,Generator,4,3,17,11,13.7,0.7,6.1,2,1,Very high,9.8962,9.8962,9.52617248784431,5.668500660511562,1.42,0.495,0.51,0.685,0.414
Enugu,Commercial,Flat,Solar,B and A,Yes,No,Generator,4,5,4,20,2.6,0.0,4.6,2,1,Moderate,10.6388,10.6388,8.353261499733874,3.686376323895818,0.92,1.182,0.56,0.289,1.418
Oyo,Residential,Office,Generator,B and B,Yes,No,UPS,6,3,4,20,5.9,0.0,4.4,4,0,Moderate,10.5565,10.5565,8.134760782418645,5.360352757467489,0.89,1.508,0.565,0.843,0.909
Rivers,Industrial,Bungalow,Both,B and A,No,No,Generator,4,3,7,1,11.4,0.0,5.7,1,0,High,10.5448,10.5448,9.412301144022486,4.730921391293652,1.18,1.054,0.528,1.14,0.415
Enugu,Residential,Factory,Generator,B and C,No,Yes,Generator,1,8,10,16,11.8,0.9,5.4,1,2,Moderate,9.6583,9.6583,10.309685725220122,3.7232808808312687,3.72,0.537,0.484,0.656,0.316
Enugu,Industrial,Duplex,NEPA/PHCN,B and D,Yes,Yes,Generator,8,2,4,0,8.2,0.5,6.3,2,0,Very high,7.2138,7.2138,9.590487672100057,6.931276474023483,0.87,1.202,0.429,1.367,0.845
Kano,Residential,Flat,NEPA/PHCN,B and C,Prepaid,Yes,Solar,2,2,12,0,13.7,4.6,5.1,1,1,High,9.5023,9.5023,7.767687277186908,6.199291394310299,3.1,0.679,0.55,0.979,0.453
Kaduna,Agricultural,Bungalow,Generator,B and D,No,No,UPS,3,7,10,11,20.4,0.0,9.2,1,1,High,9.5915,9.5915,8.561401446080557,5.714062784063757,1.9,0.564,0.528,1.2,0.28
Oyo,Residential,Flat,Generator,B and C,Yes,Yes,Solar,5,7,5,10,4.7,6.0,3.6,2,1,Low,8.8859,8.8859,9.331406899955626,5.08821342874163,1.02,0.74,0.488,0.392,1.083
Abuja,Government,Factory,Solar,B and E,Yes,Yes,Generator,4,4,5,18,5.4,4.4,4.9,2,3,Moderate,9.842,9.842,10.462560335928407,3.186352633162641,0.8,1.094,0.485,0.6,0.59
Enugu,Industrial,Duplex,Solar,B and A,Yes,Yes,Solar,3,1,5,19,18.8,0.9,4.0,3,1,High,9.2625,9.2625,7.475339236566737,5.01396308418893,1.67,1.544,0.553,3.133,0.267
Benue,Agricultural,Flat,Both,B and D,No,Yes,Generator,6,1,12,25,11.2,3.4,5.8,0,2,High,10.6233,10.6233,9.817112336789382,6.564842345530938,1.09,0.817,0.52,0.862,0.586
Bauchi,Commercial,Bungalow,Both,B and A,Yes,No,UPS,3,8,8,7,2.6,0.0,5.7,3,1,High,9.5232,9.5232,7.837159650001675,3.044522437723423,1.01,0.595,0.549,0.162,1.171
Kaduna,Industrial,Bungalow,NEPA/PHCN,B and B,No,Yes,Generator,4,2,7,11,13.8,1.1,5.6,1,0,High,10.7265,10.7265,9.254902563232154,5.640487624283887,1.41,1.192,0.537,1.533,0.409
Abuja,Residential,Office,Both,B and B,Yes,Yes,UPS,2,3,7,6,13.3,2.0,8.2,1,1,High,10.2967,10.2967,9.18254770919177,6.1516682986483175,3.08,1.03,0.529,1.33,0.463
Benue,Residential,Shop,Both,B and E,Yes,Yes,Generator,6,6,9,7,10.8,1.0,7.5,0,2,Low,7.8583,7.8583,9.54029139160713,4.71760561531788,0.79,0.524,0.452,0.72,0.437
Oyo,Residential,Office,Both,B and C,No,Yes,Generator,2,4,12,24,8.3,2.0,8.8,3,0,Moderate,10.2693,10.2693,9.947217315397454,4.051784947803305,2.03,0.642,0.508,0.519,0.488
Lagos,Residential,Factory,Both,B and D,No,No,Generator,5,6,8,18,13.2,0.0,6.5,2,0,Moderate,8.776,8.776,7.70210434005105,5.776413165691109,1.16,0.627,0.533,0.943,0.438
Benue,Agricultural,Bungalow,Solar,B and D,Yes,Yes,UPS,7,8,9,5,19.2,0.9,3.6,0,1,Moderate,9.7083,9.7083,8.537387898701757,4.751864565138895,0.68,0.571,0.532,1.129,0.247
Kwara,Residential,Warehouse,Solar,B and D,Yes,No,Solar,5,4,6,5,12.6,0.0,5.8,0,2,High,9.0066,9.0066,9.294966406296684,6.475740835640436,1.3,0.901,0.492,1.26,0.514
Kaduna,Commercial,Duplex,Solar,B and A,Yes,Yes,UPS,4,5,1,3,18.0,5.7,6.4,2,1,Very high,7.9501,7.9501,9.954275719368233,7.329028117295815,1.83,1.325,0.444,3.0,0.407
Niger,Commercial,Bungalow,Solar,B and A,Yes,No,Generator,4,5,10,16,10.1,0.0,9.3,1,1,Very high,9.6857,9.6857,8.391403185357937,6.332746626439233,1.58,0.646,0.536,0.673,0.627
Benue,Commercial,Office,NEPA/PHCN,B and D,Yes,Yes,Generator,3,4,6,0,11.1,0.5,7.5,1,1,Low,6.9088,6.9088,9.087946723762116,3.044522437723423,1.01,0.691,0.432,1.11,0.274
Anambra,Commercial,Office,NEPA/PHCN,B and D,Prepaid,No,Generator,6,6,6,0,5.5,0.0,6.7,1,0,Very high,9.9456,9.9456,8.712266432135355,6.533934176208434,1.09,0.829,0.533,0.458,1.188
Lagos,Residential,Flat,Both,B and C,Yes,No,Generator,5,5,13,4,16.4,0.0,4.4,1,1,High,6.9088,6.9088,6.493753839851686,4.784152841516532,0.96,0.384,0.515,0.911,0.292
Plateau,Commercial,Warehouse,NEPA/PHCN,B and B,No,Yes,Solar,4,3,10,4,17.9,5.6,5.7,3,1,Very high,9.9343,9.9343,8.752581469146884,5.033700567027251,1.26,0.764,0.532,1.377,0.281
Plateau,Residential,Bungalow,Generator,B and A,No,Yes,Solar,5,3,6,26,5.4,1.6,3.8,0,2,Low,9.6853,9.6853,10.44877257235369,3.044522437723423,0.61,1.076,0.481,0.6,0.564
Sokoto,Government,Office,NEPA/PHCN,B and B,No,No,No Backup,3,3,10,26,5.8,0.0,5.0,0,1,Moderate,8.0615,8.0615,9.675771061251782,5.481055503227208,1.83,0.62,0.454,0.446,0.945
