HouseholdID,State,Sector,BuildingType,ElectricitySource,TariffBand,HasMeter,RenewableEnergy,BackupPower,NumOccupants,NumRooms,NumAppliances,MonthlyIncome(NGN),BuildingAge(Years),MonthlyBill(NGN),GeneratorFuelCost(NGN),HoursPowerDaily,SolarCapacity(kW),MonthlyConsumption(kWh),PeakHourUsage,NumACUnits,NumFreezers,ConsumptionCategory
HH000001,Delta,Residential,Bungalow,Generator,Band D,1,Yes,solar,3,5,9,20000.0,20,36056.0,8280.0,10.3,8.6,80.7,5.9,1,2,Minimal
HH000002,Rivers,Residential,Flat,Both,Band A,Yes,Yes,None,4,1,6,24140.0,11,1973900.0,6016.0,10.8,1.7,96.8,5.6,1,0,LOW
HH000003,Niger,Residential,Duplex,NEPA/PHCN,Band B,Yes,No,None,4,3,10,401524.0,7,31428.0,2900.0,11.8,0.0,524.5,9.7,3,2,Very heavy
HH000004,Sokoto,Industrial,Office,Both,C,No,No,Generator,3,3,9,169549.0,1,30259.0,1873.0,5.0,0.0,197.7,5.3,0,2,MODERATE
HH000005,Plateau,Government,Warehouse,Both,Band D,Yes,Yes,Generator,2,3,9,57537.0,8,9955.0,10584.0,17.1,2.6,39.1,4.6,0,1,Minimal
HH000006,Enugu,Commercial,Flat,NEPA/PHCN,Band C,Yes,no,solar,3,6,5,368019.0,13,44813.0,3132.0,3.0,0.0,79.6kwh,6.5,1,1,LOW
HH000007,Niger,Residential,Flat,Both,Band D,no,No,Generator,3,1,8,197135.0,10,9955.0,7355.0,15.9,0.0,20.0,4.7,0,0,MINIMAL
HH000008,Oyo,Residential,Flat,NEPA,Band B,Yes,No,Generator,4,4,7,36057.0,0,15861.0,9938.0,19.8,0.0,90.1,5.9,1,0,L
HH000009,Delta,Commercial,Shop,Generator,A,No,no,None,6,3,8,"NGN421,334",0,"₦2,914","₦11,122",12.9,0.0,176.4kwh,7.9,3,1,Very High
HH000010,Kwara,Agricultural,Bungalow,NEPA/PHCN,Band D,Prepaid,No,None,3,2,17,"₦450,840",5,8844.0,12716.0,11.7,0.0,529.4,1.3,1,1,Extreme
HH000011,Kano,Residential,OFFICE,Both,Band C,No,no,None,2,2,5,290691.0,16,35586.0,1142.0,6.8,0.0,75.3,7.6,1,1,Low
HH000012,Delta,Industrial,Flat,NEPA/PHCN,Band C,Yes,No,Generator,4,3,13,61908.0,12,3495.0,1541.0,3.8,0.0,272.0,6.2,1,0,HIGH
HH000013,Plateau,Residential,Duplex,NEPA,Band D,No,No,Generator,7,3,9,,32,36714.0,4833.0,17.3,0.0,198.1,3.7,1,1,moderate
HH000014,Plateau,Residential,Warehouse,Grid,Band B,No,Yes,None,4,3,17,297136.0,11,19854.0,13713.0,13.7,0.7,288.6,6.1,2,1,VH
HH000015,Enugu,Commercial,flat,Off-grid,Band A,Yes,No,Generator,4,5,4,30033.0,20,41723.0,4243.0,2.6,0.0,38.9,4.6,2,1,MODERATE
HH000016,Oyo,Residential,Office,Generator,Band B,Yes,No,UPS,6,3,4,144672.0,20,38426.0,3410.0,5.9,0.0,211.8,4.4,4,0,MODERATE
HH000017,Rivers,Industrial,Bungalow,Both,Band A,No,No,None,4,3,7,23140.0,1,37980.0,12237.0,11.4,0.0,112.4,5.7,1,0,Heavy
HH000018,Enugu,Residential,Factory,generator,Band C,No,Yes,Generator,1,8,10,20000.0,16,15650.0,30021.0,11.8,0.9,40.4,5.4,1,2,moderate
HH000019,Enugu,Industrial,Duplex,NEPA/PHCN,Band D,Yes,Yes,Generator,8,2,4,347091.0,0,1357.0,14624.0,8.2,0.5,1022.8,6.3,2,0,Very High
HH000020,Kano,Residential,Flat,NEPA/PHCN,C,Prepaid,yes,Solar,2,2,12,183162.0,0,13390.0,2362.0,13.7,4.6,491.4,5.1,1,1,high
HH000021,Kaduna,Agricultural,Bungalow,Generator,Band D,No,No,UPS,3,7,10,119131.0,11,65270.0,5225.0,20.4,0.0,302.1,9.2,1,1,Heavy
HH000022,Oyo,Residential,Flat,generator,Band C,Yes,yes,Solar,5,7,5,166594.0,10,7228.0,11286.0,4.7,6.0,161.1,3.6,2,1,Low
HH000023,Abuja,Government,Factory,Solar,Band E,Yes,yes,Generator,4,4,5,31510.0,18,18806.0,34980.0,5.4,4.4,23.2,4.9,2,3,Average
HH000024,Enugu,Industrial,Duplex,Solar,A,yes,Y,Solar,3,1,5,182497.0,19,10534.0,1763.0,18.8,0.9,149.5,4.0,3,1,HEAVY
HH000025,Benue,Agricultural,flat,Both,Band D,No,Y,None,6,1,12,20000.0,25,41078.0,18344.0,11.2,3.4,708.7,5.8,0,2,HIGH
HH000026,Bauchi,Commercial,Bungalow,Both,Band A,Yes,No,UPS,3,8,8,20000.0,7,68524.0,2532.0,2.6,0.0,20.0,5.7,3,1,HEAVY
HH000027,Kaduna,Industrial,Bungalow,NEPA/PHCN,Band B,No,yes,Generator,4,2,7,,,45546.0,59176.0,13.8,1.1,280.6,5.6,1,0,H
HH000028,Abuja,Residential,Office,Both,Band B,Yes,yes,UPS,2,3,7,20000.0,6,29635.0,43751.0,13.3,2.0,468.5,8.2,1,1,Heavy
HH000029,Benue,Residential,Shop,Both,E,Yes,Yes,None,6,6,9,48468.0,7,"₦2,586",13908.0,10.8,1.0,110.9,7.5,0,2,Minimal
HH000030,Oyo,Residential,OFFICE,Both,Band C,No,yes,Generator,2,4,12,31914.0,24 years,28834.0,20893.0,8.3 hours,2.0,56.5,8.8,3,0,AVERAGE
HH000031,Lagos,Residential,Factory,Both,Band D,No,no,Generator,5,6,8,90618.0,18,6476.0,2212.0,13.2,0.0,321.6,6.5,2,0,AVERAGE
HH000032,Benue,Agricultural,Bungalow,Solar,Band D,yes,Yes,UPS,7,8,9,"NGN286,332",5 years,16452.0,5101.0,19.2,0.5kw,114.8,3.6,0,1,AVERAGE
HH000033,Kwara,Residential,Warehouse,solar,Band D,Yes,No,Solar,5,4,6,296822.0,5,8156.0,,12.6 hrs,,648.2,5.8,0,2,HIGH
HH000034,Kaduna,Commercial,DUPLEX,Solar,Band A,yes,Yes,UPS,4,5,1,"NGN279,140",3,2835.0,21041.0,18.0,5.7,1522.9,6.4,2,1,VH
HH000035,Niger,Commercial,Bungalow,Solar,Band A,Yes,0,Generator,4,5,10,260208.0,16,62241.0,4408.0,10.1,0.0,561.7,9.3,1,1,VERY HIGH
HH000036,Benue,Commercial,Office,nepa,Band D,Yes,Yes,Generator,3,4,6,73337.0,0,"NGN1,000",8847.0,11.1,0.5,20.0,7.5,1,1,low
HH000037,Anambra,Commercial,Office,NEPA,Band D,Prepaid,No,Generator,6,6,6,106368.0,0,20860.0,6076.0,5.5,0.0,687.1,6.7,1,0,VH
HH000038,Lagos,Residential,Flat,Both,Band C,Yes,No,None,5,5,13,22117.0,4,1000.0,660.0,16.4,0.0,118.6,4.4,1,1,HEAVY
HH000039,Plateau,Commercial,Warehouse,NEPA/PHCN,Band B,No,Yes,Solar,4,3,10,293400.0,4,20624.0,6326.0,17.9,5.6,152.5,5.7,3,1,EXTREME
HH000040,Plateau,Residential,Bungalow,Generator,Band A,0,yes,solar,5,3,6,"NGN114,574",26,16079.0,34501.0,5.4 hrs,1.6,20.0,3.8,0,2,Low
HH000041,Sokoto,Government,Office,NEPA/PHCN,Band B,no,No,none,3,3,10,61399.0,26,3169.0,15926.0,5.8,0.0,239.1,5.0,0,1,Average
HH000042,Kwara,Industrial,Duplex,NEPA/PHCN,Band C,0,No,Generator,2,6,11,235519.0,27,42824.0,8911.0,13.6,0.0,319.9,7.5,1,2,VERY HIGH
